PsNo, DateTime, Cond, Order,FSQ,Condition,Block,Measure,Scenario,Scariness
20,29/11/2016 10:22,CVA,132,2.944444444,A,3,2,2,1
56,30/11/2016 10:28,CVA,132,4.5,A,3,2,2,6
92,30/11/2016 13:42,CVA,132,5.166666667,A,3,2,2,7
128,09/12/2016 12:32,CVA,132,4.388888889,A,3,2,2,4
21,29/11/2016 10:33,CVA,213,4.388888889,A,3,2,3,2
57,30/11/2016 10:29,CVA,213,1.111111111,A,3,2,3,2
93,30/11/2016 13:45,CVA,213,1.277777778,A,3,2,3,5
129,09/12/2016 13:44,CVA,213,4.388888889,A,3,2,3,5
22,29/11/2016 10:17,CVA,231,3.444444444,A,3,2,1,4
58,30/11/2016 10:34,CVA,231,1.5,A,3,2,1,1
94,30/11/2016 13:35,CVA,231,1.944444444,A,3,2,1,1
130,09/12/2016 11:35,CVA,231,2.222222222,A,3,2,1,4
59,30/11/2016 10:46,CVA,312,2,A,3,2,2,1
95,30/11/2016 14:51,CVA,312,5.722222222,A,3,2,2,5
131,09/12/2016 11:29,CVA,312,3.555555556,A,3,2,2,4
24,29/11/2016 11:56,CVA,321,1.833333333,A,3,2,1,5
60,30/11/2016 10:31,CVA,321,5.333333333,A,3,2,1,8
96,30/11/2016 13:53,CVA,321,3.5,A,3,2,1,7
132,09/12/2016 12:31,CVA,321,5.666666667,A,3,2,1,3
25,29/11/2016 10:52,VAC,123,6.388888889,A,2,2,2,9
61,30/11/2016 10:39,VAC,123,2.611111111,A,2,2,2,0
97,30/11/2016 14:57,VAC,123,5.277777778,A,2,2,2,1
133,09/12/2016 12:08,VAC,123,5.888888889,A,2,2,2,8
26,29/11/2016 10:35,VAC,132,1.555555556,A,2,2,3,4
62,30/11/2016 10:35,VAC,132,4.833333333,A,2,2,3,9
98,30/11/2016 14:18,VAC,132,2.722222222,A,2,2,3,4
134,09/12/2016 13:35,VAC,132,4.222222222,A,2,2,3,0
27,29/11/2016 12:20,VAC,213,2.388888889,A,2,2,1,4
63,30/11/2016 10:45,VAC,213,3.111111111,A,2,2,1,5
99,30/11/2016 14:40,VAC,213,4,A,2,2,1,7
135,09/12/2016 13:29,VAC,213,4.055555556,A,2,2,1,3
28,29/11/2016 12:31,VAC,231,1.611111111,A,2,2,3,2
100,30/11/2016 14:31,VAC,231,4.777777778,A,2,2,3,8
136,09/12/2016 14:35,VAC,231,4.166666667,A,2,2,3,8
29,29/11/2016 12:16,VAC,312,1.111111111,A,2,2,1,0
65,30/11/2016 11:17,VAC,312,1.055555556,A,2,2,1,0
101,30/11/2016 14:37,VAC,312,3.764705882,A,2,2,1,2
137,09/12/2016 12:35,VAC,312,1.333333333,A,2,2,1,2
30,29/11/2016 12:24,VAC,321,1.055555556,A,2,2,2,2
66,30/11/2016 11:28,VAC,321,1.833333333,A,2,2,2,1
102,30/11/2016 14:30,VAC,321,5.055555556,A,2,2,2,2
138,09/12/2016 12:40,VAC,321,1.777777778,A,2,2,2,5
31,29/11/2016 14:29,VCA,123,1.444444444,A,3,2,3,2
103,30/11/2016 14:35,VCA,123,1,A,3,2,3,4
139,09/12/2016 13:31,VCA,123,1.055555556,A,3,2,3,0
32,29/11/2016 15:16,VCA,132,6.444444444,A,3,2,2,8
68,30/11/2016 12:18,VCA,132,5.777777778,A,3,2,2,3
104,30/11/2016 14:38,VCA,132,2.111111111,A,3,2,2,3
69,30/11/2016 11:21,VCA,213,1.5,A,3,2,3,5
105,30/11/2016 14:59,VCA,213,2.722222222,A,3,2,3,5
33,29/11/2016 14:22,VCA,231,5.944444444,A,3,2,1,6
34,29/11/2016 14:47,VCA,231,1.277777778,A,3,2,1,0
106,30/11/2016 14:59,VCA,231,1.055555556,A,3,2,1,0
35,29/11/2016 15:02,VCA,312,2.944444444,A,3,2,2,4
71,30/11/2016 12:27,VCA,312,1.611111111,A,3,2,2,4
107,30/11/2016 15:01,VCA,312,3.5,A,3,2,2,4
36,29/11/2016 14:11,VCA,321,3.5,A,3,2,1,5
72,30/11/2016 11:41,VCA,321,1,A,3,2,1,0
108,30/11/2016 14:56,VCA,321,2.555555556,A,3,2,1,1
37,29/11/2016 14:18,ACV,123,1.222222222,V,3,1,3,6
73,30/11/2016 12:11,ACV,123,4,V,3,1,3,8
109,09/12/2016 10:59,ACV,123,1.722222222,V,3,1,3,5
2,28/11/2016 11:27,ACV,132,2.666666667,V,3,1,2,3
38,29/11/2016 14:38,ACV,132,3.888888889,V,3,1,2,8
74,30/11/2016 12:53,ACV,132,5.666666667,V,3,1,2,10
